name,collection,price,customer_rating,head_note,heart_note,base_note,description,character,fragrance,Image URL,Dominant Color (RGB),Color Category
Libre,Yves Saint Laurent,51.3,4.9,"lavender, mandarin, neroli","jasmine, orange","musk, tonka bean, vanilla","Eau de Parfum Spray,",,"floral, oriental",https://cdn2.parfumdreams.de/image/product/16816-11176-7-44.webp?box=211,"(253, 253, 251)",White
Libre,Yves Saint Laurent,51.3,4.9,"lavender, mandarin, neroli","jasmine, orange","musk, tonka bean, vanilla","Eau de Parfum Spray,",,"floral, oriental",https://cdn2.parfumdreams.de/image/product/47343-67219-0-41.webp?box=211,"(52, 46, 48)",Indigo
Libre,Yves Saint Laurent,51.3,4.9,"lavender, mandarin, neroli","jasmine, orange","musk, tonka bean, vanilla","Eau de Parfum Spray,",,"floral, oriental",https://cdn2.parfumdreams.de/image/product/47343-67219-0-41.webp?box=211,"(52, 46, 48)",Indigo
La vie est belle,Lancôme,24.0,4.7,iris,"jasmine, orange blossom, patchouli","tonka bean, vanilla","Eau de Parfum Spray refillable,","arromatic, elegant, feminine, oriental",floral,https://cdn2.parfumdreams.de/image/product/97876-151116-0-14.webp?box=211,"(249, 247, 246)",Beige
Black Opium,Yves Saint Laurent,47.45,4.6,"orange, pear, pepper","coffee, jasmine, liquorice","cashmeran, cedar, patchouli, vanilla","Eau de Parfum Spray,",,"floral, oriental",https://cdn2.parfumdreams.de/image/product/94119-145327-0-8.webp?box=211,"(159, 122, 69)",Gray
Paradoxe,Prada,54.16,4.8,neroli,Ambrofix,musk,"Eau de Parfum Spray - refillable,",powdery,powdery,https://cdn2.parfumdreams.de/image/product/131836-211508-0-0.webp?box=211,"(246, 233, 233)",Lavender
Paradoxe,Prada,54.16,4.8,neroli,Ambrofix,musk,"Eau de Parfum Spray - refillable,",powdery,powdery,https://cdn2.parfumdreams.de/image/product/131836-211508-0-0.webp?box=211,"(56, 55, 55)",Saddle Brown
Paradoxe,Prada,54.16,4.8,neroli,Ambrofix,musk,"Eau de Parfum Spray - refillable,",powdery,powdery,https://cdn2.parfumdreams.de/image/product/131836-211508-0-0.webp?box=211,"(246, 233, 233)",Lavender
Goddess,Burberry,49.98,4.8,vanilla,vanilla,vanilla,"Eau de Parfum Spray,",,,https://cdn2.parfumdreams.de/image/product/104765-162965-0-36.webp?box=211,"(245, 240, 229)",Beige
Chloé,Chloé,23.08,4.6,"freesia, lychee, peony","lily of the valley, magnolia, rose","amber, cedar","Eau de Parfum Spray,",,floral,https://cdn2.parfumdreams.de/image/product/49408-70676-2-25.webp?box=211,"(251, 250, 245)",Ivory
Unisex fragrances,Lattafa,38.3,5.0,"bergamot, cinnamon, nutmeg","lily of the valley, praline, tuberose","amber wood, benzoin, myrrh, tonka bean, vanilla, wood","Eau de Parfum Spray, Khamra",,"spicy, sweet",https://cdn2.parfumdreams.de/image/product/135630-219083-0-0.webp?box=211,"(250, 248, 241)",Beige
Donna Born In Roma,Valentino,54.45,4.7,jasminum sambac,cashmeran,vanilla,"Eau de Parfum Spray,",,wooden,https://cdn2.parfumdreams.de/image/product/92045-142105-0-31.webp?box=211,"(249, 249, 249)",White
Alien,MUGLER,48.61,4.9,jasminum sambac,wood,amber,"Eau de Parfum Spray Refillable,",unique,"floral, oriental",https://cdn2.parfumdreams.de/image/product/104642-162723-0-131.webp?box=211,"(253, 252, 250)",White
Si,Armani,47.74,4.7,"bergamot, blackcurrant, vanilla","freesia, patchouli, rose","musk, orcanox","Eau de Parfum Spray - Refillable,",,"floral, fruity",https://cdn2.parfumdreams.de/image/product/97812-151019-1-30.webp?box=211,"(250, 247, 246)",Beige
Libre,Yves Saint Laurent,54.72,4.8,"bergamot, lavender, mandarin","jasmine, orange, orchid","amber, tonka bean, vanilla","Eau de Parfum Spray Intense,",,fruity,https://cdn2.parfumdreams.de/image/product/16816-11176-7-44.webp?box=211,"(253, 253, 251)",White
Libre,Yves Saint Laurent,54.72,4.8,"bergamot, lavender, mandarin","jasmine, orange, orchid","amber, tonka bean, vanilla","Eau de Parfum Spray Intense,",,fruity,https://cdn2.parfumdreams.de/image/product/47343-67219-0-41.webp?box=211,"(52, 46, 48)",Indigo
Libre,Yves Saint Laurent,54.72,4.8,"bergamot, lavender, mandarin","jasmine, orange, orchid","amber, tonka bean, vanilla","Eau de Parfum Spray Intense,",,fruity,https://cdn2.parfumdreams.de/image/product/47343-67219-0-41.webp?box=211,"(52, 46, 48)",Indigo
Idôle,Lancôme,17.95,4.8,jasmine,rose,chypre,"Eau de Parfum Spray,",,floral,https://cdn2.parfumdreams.de/image/product/12130-3624-2-21.webp?box=211,"(250, 247, 243)",Beige
Idôle,Lancôme,17.95,4.8,jasmine,rose,chypre,"Eau de Parfum Spray,",,floral,https://cdn2.parfumdreams.de/image/product/12130-3624-2-21.webp?box=211,"(250, 247, 243)",Beige
Women's fragrances,Lattafa,27.24,10.0,"heliotrope, mandarin, orchid",,"musk, sandalwood, vanilla","Eau de Parfum Spray, Yara",,powdery,https://cdn2.parfumdreams.de/image/product/135630-219083-0-0.webp?box=211,"(250, 248, 241)",Beige
Women's fragrances,Lattafa,27.24,10.0,"heliotrope, mandarin, orchid",,"musk, sandalwood, vanilla","Eau de Parfum Spray, Yara",,powdery,https://cdn2.parfumdreams.de/image/product/135630-219083-0-0.webp?box=211,"(250, 248, 241)",Beige
Paradoxe,Prada,57.9,5.0,"bergamot, neroli, pear","jasmine, moss, neroli","amber, musk, vanilla","Eau de Parfum Spray Intense - refillable,",,floral,https://cdn2.parfumdreams.de/image/product/131836-211508-0-0.webp?box=211,"(246, 233, 233)",Lavender
Paradoxe,Prada,57.9,5.0,"bergamot, neroli, pear","jasmine, moss, neroli","amber, musk, vanilla","Eau de Parfum Spray Intense - refillable,",,floral,https://cdn2.parfumdreams.de/image/product/131836-211508-0-0.webp?box=211,"(56, 55, 55)",Saddle Brown
