Product Name,Image URL,Dominant Color (RGB),Color Category
Libre,https://cdn2.parfumdreams.de/image/product/16816-11176-7-44.webp?box=211,"(253, 253, 251)",White
La vie est belle,https://cdn2.parfumdreams.de/image/product/97876-151116-0-14.webp?box=211,"(249, 247, 246)",Beige
Black Opium,https://cdn2.parfumdreams.de/image/product/94119-145327-0-8.webp?box=211,"(159, 122, 69)",Gray
Paradoxe,https://cdn2.parfumdreams.de/image/product/131836-211508-0-0.webp?box=211,"(246, 233, 233)",Lavender
Goddess,https://cdn2.parfumdreams.de/image/product/104765-162965-0-36.webp?box=211,"(245, 240, 229)",Beige
Chloé,https://cdn2.parfumdreams.de/image/product/49408-70676-2-25.webp?box=211,"(251, 250, 245)",Ivory
Unisex fragrances,https://cdn2.parfumdreams.de/image/product/135630-219083-0-0.webp?box=211,"(250, 248, 241)",Beige
Donna Born In Roma,https://cdn2.parfumdreams.de/image/product/92045-142105-0-31.webp?box=211,"(249, 249, 249)",White
Alien,https://cdn2.parfumdreams.de/image/product/104642-162723-0-131.webp?box=211,"(253, 252, 250)",White
Si,https://cdn2.parfumdreams.de/image/product/97812-151019-1-30.webp?box=211,"(250, 247, 246)",Beige
Libre,https://cdn2.parfumdreams.de/image/product/47343-67219-0-41.webp?box=211,"(52, 46, 48)",Indigo
Idôle,https://cdn2.parfumdreams.de/image/product/12130-3624-2-21.webp?box=211,"(250, 247, 243)",Beige
Women's fragrances,https://cdn2.parfumdreams.de/image/product/135630-219083-0-0.webp?box=211,"(250, 248, 241)",Beige
Paradoxe,https://cdn2.parfumdreams.de/image/product/131836-211508-0-0.webp?box=211,"(56, 55, 55)",Saddle Brown
Emporio Armani,https://cdn2.parfumdreams.de/image/product/97812-151019-1-30.webp?box=211,"(131, 60, 40)",Saddle Brown
Libre,https://cdn2.parfumdreams.de/image/product/47343-67219-0-41.webp?box=211,"(52, 46, 48)",Indigo
Idôle,https://cdn2.parfumdreams.de/image/product/12130-3624-2-21.webp?box=211,"(250, 247, 243)",Beige
Women's fragrances,https://cdn2.parfumdreams.de/image/product/135630-219083-0-0.webp?box=211,"(250, 248, 241)",Beige
Paradoxe,https://cdn2.parfumdreams.de/image/product/131836-211508-0-0.webp?box=211,"(246, 233, 233)",Lavender
Emporio Armani,https://cdn2.parfumdreams.de/image/product/97812-151019-1-30.webp?box=211,"(250, 247, 246)",Beige
Spices,https://cdn2.parfumdreams.de/image/product/97684-0-0-2.webp?box=211,"(250, 247, 248)",Beige
My Way,https://cdn2.parfumdreams.de/image/product/97812-151019-1-30.webp?box=211,"(250, 247, 246)",Beige
Emporio Armani You,https://cdn2.parfumdreams.de/image/product/115229-181856-0-70.webp?box=211,"(25, 25, 26)",Black
BOSS Alive,https://cdn2.parfumdreams.de/image/product/12851-4812-0-1.webp?box=211,"(250, 249, 244)",Beige
Pour Femme,https://cdn2.parfumdreams.de/image/product/33255-204325-1-23.webp?box=211,"(105, 113, 91)",Gray
for her,https://cdn2.parfumdreams.de/image/product/109953-171759-0-18.webp?box=211,"(244, 221, 221)",Lavender
Trésor,https://cdn2.parfumdreams.de/image/product/86787-144557-24-64.webp?box=211,"(249, 191, 180)",Pink
for her,https://cdn2.parfumdreams.de/image/product/109953-171759-0-18.webp?box=211,"(244, 221, 221)",Lavender
L'Interdit,https://cdn2.parfumdreams.de/image/product/132095-212190-0-0.webp?box=211,"(250, 250, 250)",White
di Gioia,https://cdn2.parfumdreams.de/image/product/97812-151019-1-30.webp?box=211,"(250, 247, 246)",Beige
